order_id,customer_id,date_id,discount_pct,order_status
1,23,129,20,Completed
2,1000,1283,20,Completed
3,820,808,25,Completed
4,266,1433,25,Completed
5,555,631,25,Completed
6,1175,132,25,Completed
7,379,20,30,Completed
8,1152,1419,30,Completed
9,165,317,5,Completed
10,1168,442,20,Completed
11,291,522,15,Completed
12,88,1324,20,Completed
13,909,1181,5,Completed
14,488,737,25,Completed
15,215,789,20,Completed
16,948,392,30,Completed
17,207,1314,25,Completed
18,1127,754,35,Completed
19,395,1215,25,Completed
20,168,573,15,Completed
21,360,447,25,Completed
22,667,925,5,Completed
23,443,674,10,Completed
24,311,1259,0,Returned
25,68,533,25,Completed
26,335,671,10,Completed
27,1033,944,10,Completed
28,746,966,0,Completed
29,435,481,15,Cancelled
30,501,555,25,Completed
31,626,830,20,Completed
32,359,71,15,Completed
33,867,1319,0,Completed
34,260,1389,25,Completed
35,498,787,30,Completed
36,1190,235,25,Cancelled
37,30,742,5,Cancelled
38,283,1010,35,Completed
39,255,1000,5,Completed
40,418,270,35,Completed
41,654,496,25,Completed
42,1074,1116,5,Completed
43,78,1386,20,Completed
44,91,691,5,Completed
45,487,386,15,Completed
46,249,1354,20,Completed
47,48,458,25,Completed
48,1030,1358,35,Completed
49,222,1361,30,Completed
50,777,637,35,Completed
51,825,1255,35,Completed
52,496,1137,30,Completed
53,31,644,15,Completed
54,116,455,10,Completed
55,494,481,5,Completed
56,1058,1399,20,Completed
57,1154,502,5,Completed
58,101,797,30,Completed
59,409,85,35,Completed
60,582,1081,30,Completed
61,361,71,30,Returned
62,392,1396,15,Completed
63,288,909,30,Completed
64,248,122,15,Completed
65,275,957,10,Returned
66,23,1320,40,Completed
67,85,158,10,Completed
68,501,1222,10,Completed
69,744,1285,5,Completed
70,625,920,25,Completed
71,1166,15,20,Completed
72,96,975,35,Returned
73,346,310,20,Completed
74,913,528,20,Completed
75,854,1176,25,Completed
76,895,320,10,Completed
77,903,343,5,Completed
78,277,2,35,Completed
79,69,263,5,Completed
80,205,221,10,Completed
81,301,374,20,Completed
82,524,1352,10,Completed
83,978,890,25,Completed
84,1052,348,15,Completed
85,685,1145,15,Completed
86,375,625,30,Completed
87,9,482,0,Completed
88,123,1333,15,Returned
89,274,504,10,Completed
90,865,682,10,Completed
91,747,413,25,Completed
92,140,93,10,Returned
93,491,559,30,Completed
94,271,394,20,Cancelled
95,1007,324,30,Completed
96,477,362,25,Completed
97,584,888,30,Completed
98,1137,533,15,Completed
99,28,820,15,Cancelled
100,273,946,0,Completed
101,1077,1422,15,Completed
102,709,322,10,Completed
103,192,180,35,Completed
104,216,1041,10,Completed
105,938,970,25,Completed
106,283,788,35,Completed
107,580,1210,35,Completed
108,28,209,10,Completed
109,235,387,15,Completed
110,831,1426,35,Completed
111,877,1253,15,Completed
112,946,121,20,Completed
113,851,464,10,Completed
114,751,1245,0,Completed
115,40,742,20,Completed
116,179,54,10,Completed
117,45,829,0,Completed
118,784,1248,25,Completed
119,1122,603,25,Completed
120,1049,875,5,Completed
121,495,246,15,Completed
122,1145,1191,20,Completed
123,968,443,15,Completed
124,450,19,10,Completed
125,484,864,0,Completed
126,12,149,30,Completed
